Product_ID,Product_Name,Category,Price,Promo_Flag,Month,Units_Sold,Year,Is_Seasonal,Holiday_Flag
P1000,Product_0,Automotive,73.56,0,2023-01,45,2023,0,0
P1000,Product_0,Automotive,81.3,1,2023-02,130,2023,1,0
P1000,Product_0,Automotive,87.78,0,2023-03,94,2023,1,0
P1000,Product_0,Automotive,85.31,1,2023-04,65,2023,0,0
P1000,Product_0,Automotive,76.76,1,2023-05,77,2023,0,0
P1000,Product_0,Automotive,75.66,1,2023-06,75,2023,0,0
P1000,Product_0,Automotive,88.14,0,2023-07,105,2023,1,0
P1000,Product_0,Automotive,87.19,0,2023-08,71,2023,0,0
P1000,Product_0,Automotive,86.09,1,2023-09,93,2023,0,0
P1000,Product_0,Automotive,87.59,0,2023-10,101,2023,1,0
P1000,Product_0,Automotive,78.21,1,2023-11,92,2023,0,1
P1000,Product_0,Automotive,79.98,1,2023-12,131,2023,1,1
P1000,Product_0,Automotive,86.32,0,2024-01,48,2024,0,1
P1000,Product_0,Automotive,76.65,1,2024-02,83,2024,0,0
P1000,Product_0,Automotive,74.99,0,2024-03,64,2024,0,0
P1000,Product_0,Automotive,78.29,1,2024-04,78,2024,0,0
P1000,Product_0,Automotive,81.47,1,2024-05,110,2024,1,0
P1000,Product_0,Automotive,88.82,0,2024-06,74,2024,0,0
P1000,Product_0,Automotive,88.67,1,2024-07,119,2024,1,0
P1000,Product_0,Automotive,77.93,1,2024-08,103,2024,1,0
P1000,Product_0,Automotive,77.67,1,2024-09,81,2024,0,0
P1000,Product_0,Automotive,81.21,0,2024-10,55,2024,0,0
P1000,Product_0,Automotive,73.88,0,2024-11,119,2024,1,1
P1000,Product_0,Automotive,76.94,0,2024-12,72,2024,0,1
P1001,Product_1,Electronics,177.1,0,2023-01,78,2023,0,1
P1001,Product_1,Electronics,180.8,0,2023-02,99,2023,1,0
P1001,Product_1,Electronics,197.2,0,2023-03,52,2023,0,0
P1001,Product_1,Electronics,199.34,1,2023-04,127,2023,1,0
P1001,Product_1,Electronics,185.59,0,2023-05,74,2023,0,0
P1001,Product_1,Electronics,192.0,1,2023-06,93,2023,0,0
P1001,Product_1,Electronics,175.01,1,2023-07,115,2023,1,0
P1001,Product_1,Electronics,178.68,0,2023-08,69,2023,0,0
P1001,Product_1,Electronics,173.13,0,2023-09,117,2023,1,0
P1001,Product_1,Electronics,172.2,1,2023-10,128,2023,1,0
P1001,Product_1,Electronics,191.1,1,2023-11,126,2023,1,0
P1001,Product_1,Electronics,178.22,0,2023-12,62,2023,0,1
P1001,Product_1,Electronics,197.92,1,2024-01,101,2024,0,1
P1001,Product_1,Electronics,176.82,0,2024-02,98,2024,1,0
P1001,Product_1,Electronics,184.58,0,2024-03,96,2024,1,0
P1001,Product_1,Electronics,196.74,0,2024-04,105,2024,1,0
P1001,Product_1,Electronics,202.73,1,2024-05,93,2024,0,0
P1001,Product_1,Electronics,180.79,0,2024-06,125,2024,1,0
P1001,Product_1,Electronics,175.12,0,2024-07,45,2024,0,0
P1001,Product_1,Electronics,184.89,0,2024-08,71,2024,0,0
P1001,Product_1,Electronics,199.25,0,2024-09,66,2024,0,0
P1001,Product_1,Electronics,174.78,1,2024-10,132,2024,1,0
P1001,Product_1,Electronics,177.73,1,2024-11,82,2024,0,0
P1001,Product_1,Electronics,171.92,0,2024-12,83,2024,0,1
P1002,Product_2,Apparel,137.2,1,2023-01,121,2023,1,0
P1002,Product_2,Apparel,154.8,1,2023-02,107,2023,1,0
P1002,Product_2,Apparel,153.61,1,2023-03,127,2023,1,0
P1002,Product_2,Apparel,141.24,0,2023-04,50,2023,0,0
P1002,Product_2,Apparel,143.87,1,2023-05,87,2023,0,0
P1002,Product_2,Apparel,159.49,0,2023-06,72,2023,0,0
P1002,Product_2,Apparel,153.78,1,2023-07,71,2023,0,0
P1002,Product_2,Apparel,145.13,0,2023-08,101,2023,1,0
P1002,Product_2,Apparel,142.08,0,2023-09,68,2023,0,0
P1002,Product_2,Apparel,152.99,0,2023-10,57,2023,0,0
P1002,Product_2,Apparel,157.87,0,2023-11,87,2023,0,0
P1002,Product_2,Apparel,148.86,0,2023-12,115,2023,1,1
P1002,Product_2,Apparel,139.99,0,2024-01,50,2024,0,0
P1002,Product_2,Apparel,134.9,1,2024-02,129,2024,1,0
P1002,Product_2,Apparel,153.42,1,2024-03,78,2024,0,0
P1002,Product_2,Apparel,162.99,1,2024-04,87,2024,0,0
P1002,Product_2,Apparel,162.9,1,2024-05,115,2024,1,0
P1002,Product_2,Apparel,145.65,0,2024-06,107,2024,1,0
P1002,Product_2,Apparel,159.55,1,2024-07,110,2024,1,0
P1002,Product_2,Apparel,150.77,0,2024-08,54,2024,0,0
P1002,Product_2,Apparel,162.08,1,2024-09,86,2024,0,0
P1002,Product_2,Apparel,137.07,0,2024-10,77,2024,0,0
P1002,Product_2,Apparel,152.51,1,2024-11,90,2024,0,0
P1002,Product_2,Apparel,156.26,0,2024-12,75,2024,0,1
P1003,Product_3,Apparel,128.62,0,2023-01,90,2023,1,0
P1003,Product_3,Apparel,118.64,1,2023-02,93,2023,0,0
P1003,Product_3,Apparel,131.4,1,2023-03,83,2023,0,0
P1003,Product_3,Apparel,133.97,0,2023-04,102,2023,1,0
P1003,Product_3,Apparel,124.03,0,2023-05,74,2023,0,0
P1003,Product_3,Apparel,127.46,0,2023-06,100,2023,1,0
P1003,Product_3,Apparel,128.74,1,2023-07,82,2023,0,0
P1003,Product_3,Apparel,119.74,1,2023-08,81,2023,0,0
P1003,Product_3,Apparel,120.67,1,2023-09,121,2023,1,0
P1003,Product_3,Apparel,112.26,1,2023-10,71,2023,0,0
P1003,Product_3,Apparel,122.89,0,2023-11,82,2023,1,0
P1003,Product_3,Apparel,125.99,0,2023-12,78,2023,0,1
P1003,Product_3,Apparel,112.13,0,2024-01,106,2024,1,1
P1003,Product_3,Apparel,124.3,1,2024-02,116,2024,1,0
P1003,Product_3,Apparel,130.43,0,2024-03,65,2024,0,0
P1003,Product_3,Apparel,113.48,0,2024-04,47,2024,0,0
P1003,Product_3,Apparel,112.65,0,2024-05,123,2024,1,0
P1003,Product_3,Apparel,127.15,0,2024-06,118,2024,1,0
P1003,Product_3,Apparel,129.34,0,2024-07,60,2024,0,0
P1003,Product_3,Apparel,119.36,1,2024-08,124,2024,1,0
P1003,Product_3,Apparel,131.05,0,2024-09,95,2024,1,0
P1003,Product_3,Apparel,113.31,0,2024-10,43,2024,0,0
P1003,Product_3,Apparel,112.0,0,2024-11,92,2024,1,0
P1003,Product_3,Apparel,115.66,1,2024-12,96,2024,0,0
P1004,Product_4,Automotive,36.92,0,2023-01,63,2023,0,0
P1004,Product_4,Automotive,41.35,0,2023-02,83,2023,1,0
P1004,Product_4,Automotive,40.91,0,2023-03,63,2023,0,0
P1004,Product_4,Automotive,40.53,1,2023-04,136,2023,1,0
P1004,Product_4,Automotive,39.01,0,2023-05,92,2023,1,0
P1004,Product_4,Automotive,41.69,0,2023-06,47,2023,0,0
P1004,Product_4,Automotive,35.79,1,2023-07,77,2023,0,0
P1004,Product_4,Automotive,36.45,1,2023-08,98,2023,0,0
P1004,Product_4,Automotive,39.58,0,2023-09,87,2023,1,0
P1004,Product_4,Automotive,39.12,1,2023-10,118,2023,1,0
P1004,Product_4,Automotive,38.84,0,2023-11,90,2023,0,1
P1004,Product_4,Automotive,36.04,0,2023-12,128,2023,1,1
P1004,Product_4,Automotive,38.65,0,2024-01,115,2024,1,1
P1004,Product_4,Automotive,42.47,1,2024-02,143,2024,1,0
P1004,Product_4,Automotive,40.9,0,2024-03,57,2024,0,0
P1004,Product_4,Automotive,40.32,1,2024-04,80,2024,0,0
P1004,Product_4,Automotive,43.13,1,2024-05,61,2024,0,0
P1004,Product_4,Automotive,40.78,0,2024-06,112,2024,1,0
P1004,Product_4,Automotive,39.31,1,2024-07,126,2024,1,0
P1004,Product_4,Automotive,38.74,1,2024-08,80,2024,0,0
P1004,Product_4,Automotive,43.3,1,2024-09,75,2024,0,0
P1004,Product_4,Automotive,38.21,1,2024-10,82,2024,0,0
P1004,Product_4,Automotive,42.38,1,2024-11,73,2024,0,0
P1004,Product_4,Automotive,41.2,0,2024-12,111,2024,1,1
P1005,Product_5,Automotive,40.66,1,2023-01,123,2023,1,0
P1005,Product_5,Automotive,42.04,0,2023-02,105,2023,1,0
P1005,Product_5,Automotive,37.91,1,2023-03,125,2023,1,0
P1005,Product_5,Automotive,42.07,1,2023-04,112,2023,1,0
P1005,Product_5,Automotive,43.53,1,2023-05,62,2023,0,0
P1005,Product_5,Automotive,41.83,0,2023-06,87,2023,1,0
P1005,Product_5,Automotive,38.38,1,2023-07,95,2023,0,0
P1005,Product_5,Automotive,41.66,1,2023-08,115,2023,1,0
P1005,Product_5,Automotive,36.49,0,2023-09,100,2023,1,0
P1005,Product_5,Automotive,42.23,1,2023-10,89,2023,0,0
P1005,Product_5,Automotive,38.21,1,2023-11,132,2023,1,1
P1005,Product_5,Automotive,35.76,1,2023-12,88,2023,0,0
P1005,Product_5,Automotive,42.85,0,2024-01,72,2024,0,1
P1005,Product_5,Automotive,43.21,1,2024-02,73,2024,0,0
P1005,Product_5,Automotive,43.21,0,2024-03,119,2024,1,0
P1005,Product_5,Automotive,39.23,0,2024-04,70,2024,0,0
P1005,Product_5,Automotive,38.0,0,2024-05,72,2024,0,0
P1005,Product_5,Automotive,41.64,0,2024-06,48,2024,0,0
P1005,Product_5,Automotive,41.95,1,2024-07,73,2024,0,0
P1005,Product_5,Automotive,40.03,1,2024-08,119,2024,1,0
P1005,Product_5,Automotive,39.18,0,2024-09,96,2024,1,0
P1005,Product_5,Automotive,36.6,1,2024-10,128,2024,1,0
P1005,Product_5,Automotive,36.81,0,2024-11,66,2024,0,0
P1005,Product_5,Automotive,36.48,0,2024-12,73,2024,0,0
P1006,Product_6,Toys,19.29,0,2023-01,55,2023,0,0
P1006,Product_6,Toys,22.39,1,2023-02,82,2023,0,0
P1006,Product_6,Toys,21.9,0,2023-03,71,2023,0,0
P1006,Product_6,Toys,22.92,1,2023-04,75,2023,0,0
P1006,Product_6,Toys,23.08,1,2023-05,113,2023,1,0
P1006,Product_6,Toys,19.28,1,2023-06,133,2023,1,0
P1006,Product_6,Toys,22.2,1,2023-07,59,2023,0,0
P1006,Product_6,Toys,22.75,1,2023-08,135,2023,1,0
P1006,Product_6,Toys,19.4,1,2023-09,76,2023,0,0
P1006,Product_6,Toys,20.9,1,2023-10,119,2023,1,0
P1006,Product_6,Toys,19.17,0,2023-11,127,2023,1,1
P1006,Product_6,Toys,21.39,1,2023-12,102,2023,0,1
P1006,Product_6,Toys,22.98,1,2024-01,80,2024,0,1
P1006,Product_6,Toys,22.59,0,2024-02,91,2024,1,0
P1006,Product_6,Toys,19.87,0,2024-03,60,2024,0,0
P1006,Product_6,Toys,23.11,0,2024-04,109,2024,1,0
P1006,Product_6,Toys,19.24,1,2024-05,124,2024,1,0
P1006,Product_6,Toys,21.13,1,2024-06,120,2024,1,0
P1006,Product_6,Toys,21.58,0,2024-07,55,2024,0,0
P1006,Product_6,Toys,21.57,1,2024-08,138,2024,1,0
P1006,Product_6,Toys,21.39,0,2024-09,98,2024,1,0
P1006,Product_6,Toys,21.54,1,2024-10,89,2024,0,0
